Virginia Department of Education,,,,,,,,,
2008-2009 Salary Survey - Teachers,,,,,,,,,
Classroom Teacher Salary Survey (Including Librarians and Guidance Counselors),,,,,,,,,
,,,,,,,,,
Division,Name,"FY 2007 
Actual Average Teacher Salary","FY 2008
Actual Average Teacher Salary",FY 2007 to FY 2008 Percent Increase/ (Decrease),"FY 2009 
Budgeted Average Teacher Salary",FY 2008 to FY 2009 Percent Increase/ (Decrease),,,
,,,,,,,,,
School Divisions,,,,,,,,,
Counties,,,,,,,,,
001,Accomack County Public Schools," 39,973 "," 39,576 ",(0.99%)," 40,315 ",1.87% ,,,
002,Albemarle County Public Schools," 49,580 "," 51,223 ",3.32% ," 54,711 ",6.81% ,,,
003,Alleghany County Public Schools," 44,095 "," 45,580 ",3.37% ," 47,742 ",4.74% ,,,
004,Amelia County Public Schools," 40,442 "," 44,349 ",9.66% ," 43,539 ",(1.83%),,,
005,Amherst County Public Schools," 41,935 "," 42,816 ",2.10% ," 41,469 ",(3.15%),,,
006,Appomattox County Public Schools," 38,755 "," 41,028 ",5.87% ," 42,150 ",2.73% ,,,
007,Arlington County Public Schools," 64,447 "," 67,742 ",5.11% ," 68,995 ",1.85% ,,,
008,Augusta County Public Schools," 43,075 "," 44,062 ",2.29% ," 45,309 ",2.83% ,,,
009,Bath County Public Schools," 42,259 "," 42,037 ",(0.52%)," 41,277 ",(1.81%),,,
010,Bedford County Public Schools1," 39,694 "," 40,827 ",2.85% ," 42,314 ",3.64% ,,,
011,Bland County Public Schools," 37,863 "," 39,761 ",5.01% ," 37,180 ",(6.49%),,,
012,Botetourt County Public Schools," 46,561 "," 47,904 ",2.89% ," 48,200 ",0.62% ,,,
013,Brunswick County Public Schools," 37,843 "," 38,596 ",1.99% ," 42,392 ",9.84% ,,,
014,Buchanan County Public Schools," 38,686 "," 39,521 ",2.16% ," 40,813 ",3.27% ,,,
015,Buckingham County Public Schools," 39,827 "," 42,097 ",5.70% ," 45,152 ",7.26% ,,,
016,Campbell County Public Schools," 41,324 "," 42,204 ",2.13% ," 44,969 ",6.55% ,,,
017,Caroline County Public Schools," 43,807 "," 43,301 ",(1.15%)," 45,297 ",4.61% ,,,
018,Carroll County Public Schools," 37,024 "," 36,938 ",(0.23%)," 37,196 ",0.70% ,,,
019,Charles City County Public Schools," 40,530 "," 38,511 ",(4.98%)," 39,347 ",2.17% ,,,
020,Charlotte County Public Schools," 40,530 "," 42,040 ",3.73% ," 43,859 ",4.33% ,,,
021,Chesterfield County Public Schools," 46,486 "," 48,180 ",3.64% ," 49,080 ",1.87% ,,,
022,Clarke County Public Schools5," 46,433 "," 45,402 ",(2.22%)," 47,298 ",4.18% ,,,
023,Craig County Public Schools," 43,279 "," 42,430 ",(1.96%)," 43,009 ",1.37% ,,,
024,Culpeper County Public Schools," 44,565 "," 48,348 ",8.49% ," 46,081 ",(4.69%),,,
025,Cumberland County Public Schools," 39,714 "," 39,108 ",(1.53%)," 41,562 ",6.27% ,,,
026,Dickenson County Public Schools," 37,146 "," 39,957 ",7.57% ," 43,333 ",8.45% ,,,
027,Dinwiddie County Public Schools," 44,461 "," 45,181 ",1.62% ," 47,564 ",5.28% ,,,
028,Essex County Public Schools," 44,821 "," 42,812 ",(4.48%)," 44,320 ",3.52% ,,,
029,Fairfax County Public Schools2," 60,593 "," 62,458 ",3.08% ," 65,394 ",4.70% ,,,
030,Fauquier County Public Schools," 53,055 "," 55,179 ",4.00% ," 56,137 ",1.74% ,,,
031,Floyd County Public Schools," 41,891 "," 41,896 ",0.01% ," 43,127 ",2.94% ,,,
032,Fluvanna County Public Schools," 49,313 "," 50,991 ",3.40% ," 54,432 ",6.75% ,,,
033,Franklin County Public Schools," 43,549 "," 43,837 ",0.66% ," 45,958 ",4.84% ,,,
034,Frederick County Public Schools," 45,481 "," 47,085 ",3.53% ," 47,779 ",1.47% ,,,
035,Giles County Public Schools," 39,804 "," 40,903 ",2.76% ," 41,953 ",2.57% ,,,
036,Gloucester County Public Schools," 44,543 "," 45,857 ",2.95% ," 47,680 ",3.98% ,,,
037,Goochland County Public Schools," 42,544 "," 45,358 ",6.62% ," 43,170 ",(4.82%),,,
038,Grayson County Public Schools," 36,708 "," 37,108 ",1.09% ," 41,802 ",12.65% ,,,
039,Greene County Public Schools," 39,212 "," 36,056 ",(8.05%)," 39,256 ",8.88% ,,,
040,Greensville County Public Schools3," 42,103 "," 43,318 ",2.89% ," 46,249 ",6.76% ,,,
041,Halifax County Public Schools," 39,665 "," 40,518 ",2.15% ," 42,081 ",3.86% ,,,
042,Hanover County Public Schools," 44,609 "," 45,002 ",0.88% ," 47,619 ",5.82% ,,,
043,Henrico County Public Schools," 46,833 "," 48,776 ",4.15% ," 46,900 ",(3.85%),,,
044,Henry County Public Schools," 38,302 "," 40,181 ",4.91% ," 43,849 ",9.13% ,,,
045,Highland County Public Schools," 41,206 "," 40,337 ",(2.11%)," 41,943 ",3.98% ,,,
046,Isle Of Wight County Public Schools," 45,989 "," 49,741 ",8.16% ," 52,390 ",5.33% ,,,
048,King George County Public Schools," 44,936 "," 46,172 ",2.75% ," 47,981 ",3.92% ,,,
049,King And Queen County Public Schools," 40,744 "," 42,565 ",4.47% ," 45,843 ",7.70% ,,,
050,King William County Public Schools," 42,471 "," 45,314 ",6.69% ," 43,264 ",(4.52%),,,
051,Lancaster County Public Schools," 42,559 "," 44,186 ",3.82% ," 44,643 ",1.04% ,,,
052,Lee County Public Schools," 41,701 "," 40,867 ",(2.00%)," 41,314 ",1.09% ,,,
053,Loudoun County Public Schools," 60,476 "," 57,518 ",(4.89%)," 58,555 ",1.80% ,,,
054,Louisa County Public Schools," 47,347 "," 48,304 ",2.02% ," 49,855 ",3.21% ,,,
055,Lunenburg County Public Schools," 42,647 "," 40,124 ",(5.92%)," 41,390 ",3.15% ,,,
056,Madison County Public Schools," 42,577 "," 44,253 ",3.94% ," 45,099 ",1.91% ,,,
057,Mathews County Public Schools," 41,041 "," 39,263 ",(4.33%)," 45,564 ",16.05% ,,,
058,Mecklenburg County Public Schools," 40,432 "," 40,632 ",0.50% ," 41,866 ",3.04% ,,,
059,Middlesex County Public Schools," 38,979 "," 39,666 ",1.76% ," 41,039 ",3.46% ,,,
060,Montgomery County Public Schools," 42,182 "," 43,672 ",3.53% ," 46,811 ",7.19% ,,,
062,Nelson County Public Schools," 42,627 "," 44,422 ",4.21% ," 45,225 ",1.81% ,,,
063,New Kent County Public Schools," 41,188 "," 43,297 ",5.12% ," 45,533 ",5.16% ,,,
065,Northampton County Public Schools," 42,670 "," 38,407 ",(9.99%)," 40,357 ",5.08% ,,,
066,Northumberland County Public Schools," 46,644 "," 47,263 ",1.33% ," 45,257 ",(4.24%),,,
067,Nottoway County Public Schools," 39,961 "," 42,025 ",5.16% ," 48,461 ",15.32% ,,,
068,Orange County Public Schools," 43,133 "," 41,800 ",(3.09%)," 40,107 ",(4.05%),,,
069,Page County Public Schools," 41,602 "," 43,956 ",5.66% ," 45,697 ",3.96% ,,,
070,Patrick County Public Schools," 39,783 "," 40,120 ",0.85% ," 45,505 ",13.42% ,,,
071,Pittsylvania County Public Schools," 41,202 "," 40,924 ",(0.67%)," 43,764 ",6.94% ,,,
072,Powhatan County Public Schools," 45,078 "," 45,637 ",1.24% ," 48,203 ",5.62% ,,,
073,Prince Edward County Public Schools," 42,599 "," 43,507 ",2.13% ," 46,772 ",7.50% ,,,
074,Prince George County Public Schools," 45,720 "," 46,996 ",2.79% ," 50,413 ",7.27% ,,,
075,Prince William County Public Schools," 58,351 "," 59,656 ",2.24% ," 57,500 ",(3.61%),,,
077,Pulaski County Public Schools," 38,890 "," 42,876 ",10.25% ," 44,852 ",4.61% ,,,
078,Rappahannock County Public Schools," 43,490 "," 45,312 ",4.19% ," 46,116 ",1.77% ,,,
079,Richmond County Public Schools," 44,150 "," 45,242 ",2.47% ," 48,081 ",6.27% ,,,
080,Roanoke County Public Schools," 46,734 "," 47,698 ",2.06% ," 49,375 ",3.52% ,,,
081,Rockbridge County Public Schools," 40,043 "," 40,621 ",1.44% ," 42,571 ",4.80% ,,,
082,Rockingham County Public Schools," 43,154 "," 44,484 ",3.08% ," 45,359 ",1.97% ,,,
083,Russell County Public Schools5," 36,054 "," 37,006 ",2.64% ," 39,203 ",5.94% ,,,
084,Scott County Public Schools," 41,271 "," 43,542 ",5.50% ," 44,267 ",1.67% ,,,
085,Shenandoah County Public Schools," 44,284 "," 44,835 ",1.25% ," 45,377 ",1.21% ,,,
086,Smyth County Public Schools," 36,969 "," 42,986 ",16.27% ," 44,902 ",4.46% ,,,
087,Southampton County Public Schools," 42,082 "," 43,078 ",2.37% ," 45,462 ",5.53% ,,,
088,Spotsylvania County Public Schools," 49,414 "," 52,291 ",5.82% ," 54,047 ",3.36% ,,,
089,Stafford County Public Schools," 51,383 "," 52,251 ",1.69% ," 52,407 ",0.30% ,,,
090,Surry County Public Schools," 44,351 "," 44,646 ",0.67% ," 46,169 ",3.41% ,,,
091,Sussex County Public Schools," 44,553 "," 45,520 ",2.17% ," 44,650 ",(1.91%),,,
092,Tazewell County Public Schools," 39,944 "," 45,520 ",13.96% ," 49,070 ",7.80% ,,,
093,Warren County Public Schools," 43,361 "," 43,822 ",1.06% ," 45,964 ",4.89% ,,,
094,Washington County Public Schools," 41,560 "," 42,599 ",2.50% ," 44,070 ",3.45% ,,,
095,Westmoreland County Public Schools," 42,707 "," 43,386 ",1.59% ," 45,924 ",5.85% ,,,
096,Wise County Public Schools," 42,253 "," 44,130 ",4.44% ," 42,744 ",(3.14%),,,
097,Wythe County Public Schools," 41,164 "," 42,717 ",3.77% ," 45,048 ",5.46% ,,,
098,York County Public Schools," 46,925 "," 48,136 ",2.58% ," 50,795 ",5.52% ,,,
Cities,, -   ,,,,,,,
101,Alexandria City Public Schools," 65,202 "," 68,315 ",4.77% ," 72,075 ",5.50% ,,,
102,Bristol City Public Schools," 43,373 "," 43,607 ",0.54% ," 48,217 ",10.57% ,,,
