Virginia Department of Education,,,,,,,,,
2009-2010 Salary Survey - Teachers,,,,,,,,,
Classroom Teacher Salary Survey (Including Librarians and Guidance Counselors),,,,,,,,,
,,,,,,,,,
Division,Name,"FY 2008 
Actual Average Teacher Salary","FY 2009 
Actual Average Teacher Salary",FY 2008 to FY 2009 Percent Increase/ (Decrease),"FY 2010 
Budgeted Average Teacher Salary",FY 2009 to FY 2010 Percent Increase/ (Decrease),,,
,,,,,,,,,
School Divisions,,,,,,,,,
Counties,,,,,,,,,
001,Accomack County Public Schools," 39,576 "," 40,009 ",1.09% ," 40,196 ",0.47% ,,,
002,Albemarle County Public Schools," 51,223 "," 53,175 ",3.81% ," 53,529 ",0.67% ,,,
003,Alleghany County Public Schools," 45,580 "," 46,658 ",2.37% ," 47,801 ",2.45% ,,,
004,Amelia County Public Schools," 44,349 "," 46,811 ",5.55% ," 42,619 ",(8.96%),,,
005,Amherst County Public Schools," 42,816 "," 45,544 ",6.37% ," 44,981 ",(1.24%),,,
006,Appomattox County Public Schools," 41,028 "," 42,754 ",4.21% ," 40,841 ",(4.47%),,,
007,Arlington County Public Schools," 67,742 "," 69,073 ",1.96% ," 69,991 ",1.33% ,,,
008,Augusta County Public Schools," 44,062 "," 45,724 ",3.77% ," 45,644 ",(0.17%),,,
009,Bath County Public Schools," 42,037 "," 43,200 ",2.77% ," 41,814 ",(3.21%),,,
010,Bedford County Public Schools1," 40,827 "," 43,455 ",6.44% ," 43,184 ",(0.62%),,,
011,Bland County Public Schools," 39,761 "," 42,156 ",6.02% ," 42,749 ",1.41% ,,,
012,Botetourt County Public Schools," 47,904 "," 49,051 ",2.39% ," 46,667 ",(4.86%),,,
013,Brunswick County Public Schools," 38,596 "," 40,277 ",4.36% ," 42,935 ",6.60% ,,,
014,Buchanan County Public Schools," 39,521 "," 41,690 ",5.49% ," 48,281 ",15.81% ,,,
015,Buckingham County Public Schools," 42,097 "," 43,664 ",3.72% ," 37,463 ",(14.20%),,,
016,Campbell County Public Schools," 42,204 "," 43,618 ",3.35% ," 43,617 ",(0.00%),,,
017,Caroline County Public Schools," 43,301 "," 45,674 ",5.48% ," 44,661 ",(2.22%),,,
018,Carroll County Public Schools," 36,938 "," 40,582 ",9.87% ," 40,550 ",(0.08%),,,
019,Charles City County Public Schools," 38,511 "," 40,180 ",4.33% ," 40,210 ",0.07% ,,,
020,Charlotte County Public Schools," 42,040 "," 42,554 ",1.22% ," 45,127 ",6.05% ,,,
021,Chesterfield County Public Schools," 48,180 "," 50,071 ",3.93% ," 48,685 ",(2.77%),,,
022,Clarke County Public Schools5," 45,402 "," 47,601 ",4.84% ," 45,989 ",(3.39%),,,
023,Craig County Public Schools," 42,430 "," 42,593 ",0.38% ," 41,901 ",(1.62%),,,
024,Culpeper County Public Schools," 48,348 "," 48,188 ",(0.33%)," 48,672 ",1.00% ,,,
025,Cumberland County Public Schools," 39,108 "," 40,115 ",2.57% ," 37,859 ",(5.63%),,,
026,Dickenson County Public Schools," 39,957 "," 42,595 ",6.60% ," 43,079 ",1.14% ,,,
027,Dinwiddie County Public Schools," 45,181 "," 47,570 ",5.29% ," 50,635 ",6.44% ,,,
028,Essex County Public Schools," 42,812 "," 44,680 ",4.36% ," 44,008 ",(1.50%),,,
029,Fairfax County Public Schools2," 62,458 "," 64,559 ",3.36% ," 64,634 ",0.12% ,,,
030,Fauquier County Public Schools," 55,179 "," 56,674 ",2.71% ," 51,600 ",(8.95%),,,
031,Floyd County Public Schools," 41,896 "," 43,176 ",3.06% ," 42,452 ",(1.68%),,,
032,Fluvanna County Public Schools," 50,991 "," 53,126 ",4.19% ," 49,870 ",(6.13%),,,
033,Franklin County Public Schools," 43,837 "," 46,035 ",5.01% ," 46,035 ",0.00% ,,,
034,Frederick County Public Schools," 47,085 "," 48,689 ",3.41% ," 47,427 ",(2.59%),,,
035,Giles County Public Schools," 40,903 "," 41,017 ",0.28% ," 41,157 ",0.34% ,,,
036,Gloucester County Public Schools," 45,857 "," 47,467 ",3.51% ," 46,310 ",(2.44%),,,
037,Goochland County Public Schools," 45,358 "," 45,406 ",0.11% ," 46,168 ",1.68% ,,,
038,Grayson County Public Schools," 37,108 "," 38,179 ",2.88% ," 43,669 ",14.38% ,,,
039,Greene County Public Schools," 36,056 "," 44,483 ",23.37% ," 44,332 ",(0.34%),,,
040,Greensville County Public Schools3," 43,318 "," 45,470 ",4.97% ," 46,083 ",1.35% ,,,
041,Halifax County Public Schools," 40,518 "," 39,185 ",(3.29%)," 40,409 ",3.12% ,,,
042,Hanover County Public Schools," 45,002 "," 47,479 ",5.50% ," 47,170 ",(0.65%),,,
043,Henrico County Public Schools," 48,776 "," 49,829 ",2.16% ," 50,163 ",0.67% ,,,
044,Henry County Public Schools," 40,181 "," 41,654 ",3.67% ," 38,208 ",(8.27%),,,
045,Highland County Public Schools," 40,337 "," 44,512 ",10.35% ," 39,670 ",(10.88%),,,
046,Isle Of Wight County Public Schools," 49,741 "," 52,513 ",5.57% ," 50,506 ",(3.82%),,,
048,King George County Public Schools," 46,172 "," 48,854 ",5.81% ," 49,554 ",1.43% ,,,
049,King And Queen County Public Schools," 42,565 "," 41,612 ",(2.24%)," 39,920 ",(4.07%),,,
050,King William County Public Schools," 45,314 "," 46,110 ",1.76% ," 45,794 ",(0.69%),,,
051,Lancaster County Public Schools," 44,186 "," 42,624 ",(3.53%)," 43,487 ",2.02% ,,,
052,Lee County Public Schools," 40,867 "," 43,466 ",6.36% ," 43,922 ",1.05% ,,,
053,Loudoun County Public Schools," 57,518 "," 58,720 ",2.09% ," 57,814 ",(1.54%),,,
054,Louisa County Public Schools," 48,304 "," 49,656 ",2.80% ," 49,469 ",(0.38%),,,
055,Lunenburg County Public Schools," 40,124 "," 41,332 ",3.01% ," 41,692 ",0.87% ,,,
056,Madison County Public Schools," 44,253 "," 44,538 ",0.64% ," 43,983 ",(1.25%),,,
057,Mathews County Public Schools," 39,263 "," 39,697 ",1.11% ," 43,618 ",9.88% ,,,
058,Mecklenburg County Public Schools," 40,632 "," 42,068 ",3.53% ," 42,197 ",0.31% ,,,
059,Middlesex County Public Schools," 39,666 "," 41,677 ",5.07% ," 40,668 ",(2.42%),,,
060,Montgomery County Public Schools," 43,672 "," 45,738 ",4.73% ," 46,336 ",1.31% ,,,
062,Nelson County Public Schools," 44,422 "," 45,345 ",2.08% ," 45,781 ",0.96% ,,,
063,New Kent County Public Schools," 43,297 "," 46,989 ",8.53% ," 46,494 ",(1.05%),,,
065,Northampton County Public Schools," 38,407 "," 40,689 ",5.94% ," 41,778 ",2.68% ,,,
066,Northumberland County Public Schools," 47,263 "," 47,323 ",0.13% ," 44,917 ",(5.09%),,,
067,Nottoway County Public Schools," 42,025 "," 47,136 ",12.16% ," 41,869 ",(11.17%),,,
068,Orange County Public Schools," 41,800 "," 42,628 ",1.98% ," 43,553 ",2.17% ,,,
069,Page County Public Schools," 43,956 "," 44,941 ",2.24% ," 41,396 ",(7.89%),,,
070,Patrick County Public Schools," 40,120 "," 41,296 ",2.93% ," 42,814 ",3.68% ,,,
071,Pittsylvania County Public Schools," 40,924 "," 42,338 ",3.46% ," 42,277 ",(0.14%),,,
072,Powhatan County Public Schools," 45,637 "," 47,162 ",3.34% ," 48,663 ",3.18% ,,,
073,Prince Edward County Public Schools," 43,507 "," 44,451 ",2.17% ," 45,861 ",3.17% ,,,
074,Prince George County Public Schools," 46,996 "," 50,471 ",7.39% ," 50,079 ",(0.78%),,,
075,Prince William County Public Schools," 59,656 "," 63,873 ",7.07% ," 59,073 ",(7.51%),,,
077,Pulaski County Public Schools," 42,876 "," 43,794 ",2.14% ," 43,719 ",(0.17%),,,
078,Rappahannock County Public Schools," 45,312 "," 46,656 ",2.97% ," 45,006 ",(3.54%),,,
079,Richmond County Public Schools," 45,242 "," 47,385 ",4.74% ," 47,776 ",0.83% ,,,
080,Roanoke County Public Schools," 47,698 "," 49,221 ",3.19% ," 47,357 ",(3.79%),,,
081,Rockbridge County Public Schools," 40,621 "," 42,510 ",4.65% ," 42,136 ",(0.88%),,,
082,Rockingham County Public Schools," 44,484 "," 45,124 ",1.44% ," 44,296 ",(1.83%),,,
083,Russell County Public Schools5," 37,006 "," 40,315 ",8.94% ," 41,564 ",3.10% ,,,
084,Scott County Public Schools," 43,542 "," 44,641 ",2.52% ," 44,117 ",(1.17%),,,
085,Shenandoah County Public Schools," 44,835 "," 46,181 ",3.00% ," 48,197 ",4.37% ,,,
086,Smyth County Public Schools," 42,986 "," 42,845 ",(0.33%)," 44,938 ",4.88% ,,,
087,Southampton County Public Schools," 43,078 "," 44,126 ",2.43% ," 44,384 ",0.58% ,,,
088,Spotsylvania County Public Schools," 52,291 "," 53,222 ",1.78% ," 53,518 ",0.56% ,,,
089,Stafford County Public Schools," 52,251 "," 50,820 ",(2.74%)," 51,341 ",1.03% ,,,
090,Surry County Public Schools," 44,646 "," 45,377 ",1.64% ," 42,285 ",(6.81%),,,
091,Sussex County Public Schools," 45,520 "," 47,789 ",4.99% ," 47,745 ",(0.09%),,,
092,Tazewell County Public Schools," 45,520 "," 45,059 ",(1.01%)," 44,824 ",(0.52%),,,
093,Warren County Public Schools," 43,822 "," 46,127 ",5.26% ," 44,549 ",(3.42%),,,
094,Washington County Public Schools," 42,599 "," 44,822 ",5.22% ," 44,822 ",0.00% ,,,
095,Westmoreland County Public Schools," 43,386 "," 41,974 ",(3.25%)," 45,898 ",9.35% ,,,
096,Wise County Public Schools," 44,130 "," 48,974 ",10.98% ," 44,085 ",(9.98%),,,
097,Wythe County Public Schools," 42,717 "," 44,307 ",3.72% ," 45,310 ",2.26% ,,,
098,York County Public Schools," 48,136 "," 49,800 ",3.46% ," 49,284 ",(1.04%),,,
Cities,, -   ,,,,,,,
101,Alexandria City Public Schools," 68,315 "," 66,413 ",(2.78%)," 65,772 ",(0.97%),,,
102,Bristol City Public Schools," 43,607 "," 45,040 ",3.29% ," 43,391 ",(3.66%),,,
