,Division,Name,"FY 2010 
Actual Average Teacher Salary","FY 2011 
Actual Average Teacher Salary",FY 2010 to FY 2011 Percent Increase/ (Decrease),"FY 2012 
Budgeted Average Teacher Salary",FY 2011 to FY 2012 Percent Increase/ (Decrease)
0,001,Accomack County Public Schools,39299.0,38600.0,-1.78,39034.0,1.13
1,002,Albemarle County Public Schools,51960.0,51512.0,-0.86,52378.0,1.68
2,003,Alleghany County Public Schools,46646.0,47114.0,1.0,47440.0,0.69
3,004,Amelia County Public Schools,46410.0,44762.0,-3.55,46022.0,2.81
4,005,Amherst County Public Schools,44280.0,43684.0,-1.34,43470.0,-0.49
5,006,Appomattox County Public Schools,39870.0,41177.0,3.28,39023.0,-5.23
6,007,Arlington County Public Schools,69737.0,68979.0,-1.09,69904.0,1.34
7,008,Augusta County Public Schools,45001.0,43692.0,-2.91,43238.0,-1.04
8,009,Bath County Public Schools,42076.0,41715.0,-0.86,41839.0,0.3
9,010,Bedford County Public Schools1,40874.0,41023.0,0.37,40562.0,-1.12
10,011,Bland County Public Schools,42763.0,41583.0,-2.76,40242.0,-3.22
11,012,Botetourt County Public Schools,49001.0,48130.0,-1.78,48174.0,0.09
12,013,Brunswick County Public Schools,40105.0,39216.0,-2.22,39455.0,0.61
13,014,Buchanan County Public Schools,43017.0,39532.0,-8.1,41455.0,4.86
14,015,Buckingham County Public Schools,43448.0,42426.0,-2.35,40125.0,-5.42
15,016,Campbell County Public Schools,43376.0,41605.0,-4.08,42302.0,1.68
16,017,Caroline County Public Schools,44624.0,42473.0,-4.82,48718.0,14.7
17,018,Carroll County Public Schools,40933.0,42371.0,3.51,40452.0,-4.53
18,019,Charles City County Public Schools,41117.0,40379.0,-1.79,39060.0,-3.27
19,020,Charlotte County Public Schools,41261.0,41092.0,-0.41,44218.0,7.61
20,021,Chesterfield County Public Schools,49352.0,48233.0,-2.27,46486.0,-3.62
21,022,Clarke County Public Schools,48114.0,47771.0,-0.71,47403.0,-0.77
22,023,Craig County Public Schools,43168.0,40557.0,-6.05,44134.0,8.82
23,024,Culpeper County Public Schools,48122.0,45811.0,-4.8,46933.0,2.45
24,025,Cumberland County Public Schools,41417.0,42935.0,3.67,51330.0,19.55
25,026,Dickenson County Public Schools,40725.0,41776.0,2.58,41670.0,-0.25
26,027,Dinwiddie County Public Schools,46591.0,46594.0,0.01,42906.0,-7.92
27,028,Essex County Public Schools,45581.0,46262.0,1.5,42886.0,-7.3
28,029,Fairfax County Public Schools2,63853.0,62074.0,-2.79,64174.0,3.38
29,030,Fauquier County Public Schools,57068.0,54615.0,-4.3,51011.0,-6.6
30,031,Floyd County Public Schools,42851.0,42772.0,-0.18,39268.0,-8.19
