,Division,"FY 2017
Actual Average Teacher Salary","FY 2018
Actual Average Teacher Salary",FY 2017 to FY 2018 Percent Increase/ (Decrease),"FY 2019
Budgeted Average Teacher Salary",FY 2018 to FY 2019 Percent Increase/ (Decrease)
1,1,47512,47296,-0.45,48728,2.56
2,2,55707,58796,5.55,56512,1.44
3,3,48802,47800,-2.05,49145,0.7
4,4,50012,48872,-2.28,50737,1.45
5,5,45675,44880,-1.74,46792,2.45
6,6,40531,44832,10.61,41112,1.43
7,7,78617,80778,2.75,81044,3.09
8,8,49210,49746,1.09,60975,23.91
9,9,47828,48565,1.54,49173,2.81
10,10,43784,45810,4.63,44589,1.84
11,11,46839,43339,-7.47,46630,-0.45
12,12,53292,53995,1.32,48405,-9.17
13,13,40655,43491,6.98,41449,1.95
14,14,43750,44366,1.41,46159,5.51
15,15,45461,49318,8.48,45563,0.22
16,16,45118,46521,3.11,51131,13.33
17,17,48486,47118,-2.82,46992,-3.08
18,18,46844,49280,5.2,49132,4.89
19,19,45142,47556,5.35,49173,8.93
20,20,47306,49153,3.9,47604,0.63
21,21,48696,49174,0.98,47575,-2.3
22,22,47252,51788,9.6,47710,0.97
23,23,42702,42706,0.01,37893,-11.26
24,24,50069,50443,0.75,47782,-4.57
25,25,47055,48118,2.26,51104,8.6
26,26,39099,39950,2.18,40972,4.79
27,27,51589,53413,3.54,47489,-7.95
28,28,47171,46841,-0.7,46329,-1.79
29,29,68883,71076,3.18,73228,6.31
30,30,54371,54361,-0.02,71542,31.58
31,31,44563,46154,3.57,47066,5.62
32,32,52651,51751,-1.71,53873,2.32
33,33,49217,49378,0.33,49771,1.12
34,34,54180,54805,1.15,56121,3.58
35,35,42168,42386,0.52,43277,2.63
36,36,51145,49844,-2.54,49519,-3.18
37,37,48912,50127,2.48,50342,2.92
38,38,39297,37945,-3.44,44795,13.99
39,39,49567,50454,1.79,49502,-0.13
40,40,48915,48941,0.05,48127,-1.61
41,41,39840,40725,2.22,39697,-0.36
42,42,56106,58183,3.7,56867,1.36
43,43,50743,51270,1.04,51947,2.37
44,44,46714,47310,1.28,49395,5.74
45,45,51690,49637,-3.97,51895,0.4
46,46,54358,53377,-1.8,56171,3.34
47,48,51849,52489,1.23,54079,4.3
48,49,48253,47157,-2.27,50352,4.35
49,50,49969,49268,-1.4,48348,-3.24
50,51,49563,52035,4.99,44139,-10.94
51,52,45631,47791,4.73,45210,-0.92
52,53,65678,69021,5.09,63516,-3.29
53,54,52874,53508,1.2,48570,-8.14
54,55,43697,44096,0.91,49078,12.31
55,56,43419,43920,1.15,44264,1.95
56,57,44478,48056,8.04,44701,0.5
57,58,44424,45533,2.5,46179,3.95
58,59,46124,47336,2.63,44180,-4.22
59,60,52111,51911,-0.38,52177,0.13
60,62,53745,55461,3.19,51982,-3.28
61,63,47200,51274,8.63,47189,-0.02
62,65,44266,45588,2.99,51575,16.51
63,66,50922,51093,0.34,45893,-9.88
64,67,47043,47229,0.4,47128,0.18
65,68,49447,49185,-0.53,50682,2.5
66,69,46911,47367,0.97,47191,0.6
67,70,44198,43476,-1.63,42248,-4.41
